tiempo,energia_activa,energia_activa_sin_factor,energia_rectiva,energia_rectiva_sin_factor,demanda_activa,demanda_reactiva,TempCelcius,HR,Lluviamm,Dirdelviento,Veldelviento_m/s,Velderafagas_m/s,year,month,day,hour,weekday,pandemia
2020-04-13 07:00:00,722.4,0.172,390.6,0.093,2889.6,1562.4,25.748166666666663,95.55,0.0,106.0,0.7133333333333334,2.686666666666667,2020,4,13,7,0,1
2020-04-13 08:00:00,722.4000000000001,0.172,277.2,0.066,2889.6000000000004,1108.8,27.769166666666667,89.38333333333334,0.0,120.51666666666668,0.7133333333333333,2.895,2020,4,13,8,0,1
2020-04-13 09:00:00,777.0,0.185,344.4,0.082,3108.0,1377.6,29.053833333333333,83.11666666666666,0.0,108.58333333333331,1.135,3.566666666666667,2020,4,13,9,0,1
2020-04-13 10:00:00,797.9999999999999,0.19,361.2000000000001,0.086,3191.9999999999995,1444.8000000000002,30.6485,78.13333333333333,0.0,203.1,0.6299999999999999,2.686666666666666,2020,4,13,10,0,1
2020-04-13 11:00:00,802.2,0.191,302.4,0.072,3208.8,1209.6,30.3505,77.03333333333332,0.0,170.79999999999998,1.0516666666666663,3.483333333333333,2020,4,13,11,0,1
2020-04-13 12:00:00,806.4,0.192,327.6,0.078,3225.6,1310.4,31.531833333333328,74.88333333333334,0.0,99.0,1.3433333333333335,4.155,2020,4,13,12,0,1
2020-04-13 13:00:00,764.4000000000001,0.182,302.4,0.072,3057.6000000000004,1209.6,30.23783333333333,75.3,0.2333333333333333,156.54999999999998,1.218333333333333,3.988333333333333,2020,4,13,13,0,1
2020-04-13 14:00:00,772.8,0.184,306.6,0.073,3091.2,1226.4,29.66133333333333,79.95,0.0333333333333333,197.7333333333333,1.133333333333333,3.3183333333333334,2020,4,13,14,0,1
2020-04-13 15:00:00,760.2,0.181,352.79999999999995,0.0839999999999999,3040.8,1411.1999999999998,29.5195,82.01666666666667,0.0,233.2833333333333,0.6699999999999999,2.6016666666666666,2020,4,13,15,0,1
2020-04-13 16:00:00,764.4,0.182,327.6,0.078,3057.6,1310.4,27.793333333333333,82.46666666666665,0.0,159.1,1.721666666666667,4.575,2020,4,13,16,0,1
2020-04-13 17:00:00,785.4000000000001,0.187,373.8,0.089,3141.6000000000004,1495.1999999999998,25.834166666666672,88.25,0.0666666666666666,147.88333333333333,1.9733333333333327,5.036666666666667,2020,4,13,17,0,1
2020-04-13 18:00:00,806.4000000000001,0.192,340.20000000000005,0.081,3225.6000000000004,1360.8000000000002,24.444333333333333,91.63333333333334,0.3333333333333333,297.85,1.175,3.4433333333333334,2020,4,13,18,0,1
2020-04-13 19:00:00,810.6,0.193,327.6,0.078,3242.4,1310.4,24.468,93.38333333333334,0.3333333333333333,337.18333333333334,0.1666666666666666,1.3433333333333335,2020,4,13,19,0,1
2020-04-13 20:00:00,814.8000000000001,0.194,336.0,0.08,3259.2000000000003,1344.0,24.613,94.5,0.3999999999999999,88.91666666666667,0.0833333333333333,1.05,2020,4,13,20,0,1
2020-04-13 21:00:00,802.2,0.191,340.2,0.081,3208.8,1360.8,24.608833333333333,95.9,0.4666666666666667,64.35000000000001,0.0,0.7133333333333334,2020,4,13,21,0,1
2020-04-13 22:00:00,789.5999999999999,0.188,340.2,0.081,3158.4,1360.8,24.572666666666667,96.68333333333334,0.1,313.55,0.0,0.4616666666666666,2020,4,13,22,0,1
2020-04-13 23:00:00,785.4,0.187,382.2,0.091,3141.6,1528.8,24.460000000000004,97.09999999999998,0.0,168.21666666666667,0.0,1.0516666666666663,2020,4,13,23,0,1
2020-04-14 00:00:00,777.0,0.185,348.6,0.0829999999999999,3108.0,1394.4,24.448000000000004,97.21666666666664,0.0,208.4833333333333,0.0,0.3783333333333333,2020,4,14,0,1,1
2020-04-14 01:00:00,777.0,0.185,373.8,0.089,3108.0,1495.2,24.5245,97.41666666666669,0.0,351.4666666666667,0.0,0.0,2020,4,14,1,1,1
2020-04-14 02:00:00,772.8,0.184,357.0,0.0849999999999999,3091.2,1428.0,24.593,97.56666666666666,0.0,289.43333333333334,0.0,0.0,2020,4,14,2,1,1
2020-04-14 03:00:00,764.4,0.182,386.4,0.092,3057.6,1545.6,24.657166666666665,97.56666666666666,0.0,291.31666666666666,0.0416666666666666,0.4616666666666666,2020,4,14,3,1,1
2020-04-14 04:00:00,768.5999999999999,0.183,415.8,0.099,3074.4,1663.2,24.331499999999995,97.88333333333334,0.0,272.8333333333333,0.2933333333333333,1.971666666666667,2020,4,14,4,1,1
2020-04-14 05:00:00,764.4,0.182,428.4,0.102,3057.6,1713.6,24.291166666666665,98.08333333333331,0.0,273.31666666666666,0.2916666666666667,1.9316666666666664,2020,4,14,5,1,1
2020-04-14 06:00:00,726.6,0.173,420.0,0.1,2906.4,1679.9999999999998,24.48033333333333,97.55,0.0,288.26666666666665,0.125,1.135,2020,4,14,6,1,1
2020-04-14 07:00:00,693.0,0.1649999999999999,394.8,0.094,2772.0,1579.1999999999998,25.311333333333334,96.6,0.0,287.35,0.0,0.1683333333333333,2020,4,14,7,1,1
2020-04-14 08:00:00,848.4000000000001,0.2019999999999999,487.19999999999993,0.116,3393.6000000000004,1948.8,26.137833333333333,93.91666666666669,0.0,128.21666666666667,0.1683333333333333,1.343333333333333,2020,4,14,8,1,1
2020-04-14 09:00:00,873.6,0.208,491.4,0.1169999999999999,3494.4,1965.6,26.557166666666664,92.7,0.0,171.76666666666668,0.125,0.965,2020,4,14,9,1,1
2020-04-14 10:00:00,869.4,0.207,483.0,0.115,3477.6,1932.0,27.583166666666667,90.06666666666666,0.0,157.70000000000002,0.125,1.385,2020,4,14,10,1,1
2020-04-14 11:00:00,903.0,0.215,483.0,0.115,3612.0,1932.0,28.4485,86.98333333333333,0.0,156.98333333333335,0.25,1.845,2020,4,14,11,1,1
2020-04-14 12:00:00,903.0,0.215,466.2000000000001,0.111,3612.0,1864.8,30.173166666666663,79.58333333333333,0.0,151.61666666666667,0.3333333333333333,2.056666666666666,2020,4,14,12,1,1
2020-04-14 13:00:00,1012.2,0.241,516.5999999999999,0.123,4048.8,2066.4,28.48133333333333,82.35,0.0,183.91666666666663,0.8416666666666667,2.895,2020,4,14,13,1,1
2020-04-14 14:00:00,991.2,0.236,491.4,0.117,3964.8,1965.6,29.825500000000005,76.88333333333333,0.0333333333333333,172.0,1.01,3.315,2020,4,14,14,1,1
2020-04-14 15:00:00,957.6,0.2279999999999999,491.4,0.117,3830.4,1965.6,28.069499999999994,83.13333333333334,0.2666666666666666,180.4,1.2166666666666666,3.9033333333333338,2020,4,14,15,1,1
2020-04-14 16:00:00,940.8,0.224,520.8,0.124,3763.2,2083.2,27.119666666666664,85.89999999999999,0.3333333333333333,171.73333333333335,1.72,5.12,2020,4,14,16,1,1
2020-04-14 17:00:00,928.2,0.221,508.2000000000001,0.121,3712.8,2032.8,24.15033333333333,96.48333333333332,2.1333333333333337,191.13333333333333,1.3866666666666667,3.945,2020,4,14,17,1,1
2020-04-14 18:00:00,844.2,0.201,386.4,0.092,3376.8,1545.6,24.81883333333333,98.4,0.1333333333333333,197.46666666666667,0.2516666666666666,1.8483333333333327,2020,4,14,18,1,1
2020-04-14 19:00:00,823.2,0.196,289.8,0.069,3292.8,1159.2,24.9395,99.05,0.2666666666666666,205.9,0.0416666666666666,1.5516666666666663,2020,4,14,19,1,1
2020-04-14 20:00:00,819.0000000000001,0.195,285.6,0.068,3276.0000000000005,1142.4,24.5405,99.5,0.0333333333333333,200.51666666666665,0.1666666666666666,1.803333333333333,2020,4,14,20,1,1
2020-04-14 21:00:00,814.8000000000001,0.194,348.6,0.083,3259.2000000000003,1394.4,24.419833333333333,99.78333333333336,0.2333333333333333,199.13333333333333,0.0,0.21,2020,4,14,21,1,1
2020-04-14 22:00:00,806.4,0.192,369.6,0.088,3225.6,1478.4,24.75783333333333,99.96666666666664,0.0333333333333333,117.2,0.3366666666666666,1.8483333333333327,2020,4,14,22,1,1
2020-04-14 23:00:00,793.8,0.189,373.80000000000007,0.089,3175.2,1495.2000000000005,24.315166666666663,100.0,0.0333333333333333,43.96666666666667,0.7566666666666667,2.645,2020,4,14,23,1,1
2020-04-15 00:00:00,793.8,0.189,415.8,0.099,3175.2,1663.2,24.066000000000003,100.0,0.0,129.16666666666666,0.7116666666666666,2.603333333333333,2020,4,15,0,2,1
2020-04-15 01:00:00,798.0,0.19,445.2,0.106,3192.0,1780.8,23.901333333333337,99.95,0.0,46.1,0.5449999999999999,2.7266666666666666,2020,4,15,1,2,1
2020-04-15 02:00:00,793.8,0.189,436.8,0.104,3175.2,1747.1999999999998,24.006,99.61666666666666,0.0,43.05,0.7583333333333333,3.105,2020,4,15,2,2,1
2020-04-15 03:00:00,789.5999999999999,0.188,474.6,0.113,3158.4,1898.4,23.853166666666663,99.1,0.3,40.46666666666667,0.63,2.813333333333333,2020,4,15,3,2,1
2020-04-15 04:00:00,785.4,0.187,504.0,0.12,3141.6,2016.0,23.705,98.76666666666668,0.0666666666666666,170.56666666666663,0.4616666666666666,2.2666666666666666,2020,4,15,4,2,1
2020-04-15 05:00:00,785.4,0.187,525.0,0.125,3141.6,2100.0,23.557,98.58333333333331,0.0333333333333333,187.1833333333333,0.125,1.971666666666667,2020,4,15,5,2,1
2020-04-15 06:00:00,747.6,0.178,436.8,0.104,2990.4,1747.2,23.468166666666672,98.6,0.0333333333333333,128.46666666666667,0.0,0.5883333333333334,2020,4,15,6,2,1
2020-04-15 07:00:00,718.2,0.1709999999999999,424.2,0.101,2872.8,1696.8,23.729166666666668,98.48333333333332,0.0,101.56666666666666,0.0,0.5883333333333333,2020,4,15,7,2,1
2020-04-15 08:00:00,747.6,0.178,348.6,0.083,2990.4,1394.4,24.516500000000004,97.53333333333336,0.0,193.05,0.38,1.215,2020,4,15,8,2,1
2020-04-15 09:00:00,760.2,0.181,310.79999999999995,0.074,3040.8,1243.1999999999998,25.94816666666667,94.4,0.0,239.38333333333333,0.5866666666666666,2.18,2020,4,15,9,2,1
2020-04-15 10:00:00,768.5999999999999,0.183,294.0,0.07,3074.4,1176.0,28.938,83.85000000000001,0.0,198.41666666666663,0.25,1.888333333333333,2020,4,15,10,2,1
2020-04-15 11:00:00,772.8,0.184,285.6,0.068,3091.2,1142.4,30.791,73.81666666666666,0.0,158.8833333333333,0.25,1.5533333333333337,2020,4,15,11,2,1
2020-04-15 12:00:00,772.8,0.184,306.6,0.073,3091.2,1226.4,32.12116666666666,70.5,0.0,138.98333333333332,0.925,3.2750000000000004,2020,4,15,12,2,1
2020-04-15 13:00:00,772.8,0.184,310.79999999999995,0.074,3091.2,1243.1999999999998,32.189,65.63333333333334,0.0,109.26666666666664,1.05,3.148333333333333,2020,4,15,13,2,1
2020-04-15 14:00:00,772.8,0.184,298.2,0.071,3091.2,1192.8,31.855999999999995,66.61666666666667,0.0,109.05,1.01,3.065,2020,4,15,14,2,1
2020-04-15 15:00:00,781.1999999999999,0.186,344.4,0.082,3124.8,1377.6,30.862333333333336,72.58333333333333,0.0,104.35,1.0933333333333333,3.356666666666667,2020,4,15,15,2,1
2020-04-15 16:00:00,789.6,0.188,365.4,0.087,3158.4,1461.6,30.570833333333336,76.16666666666667,0.0,116.78333333333332,0.965,2.685,2020,4,15,16,2,1
