tiempo,energia_activa,temp_celsius,hr,lluvia_mm,dir_viento,vel_viento,vel_rafagas
2019-03-02 04:00:00,911.4,26.7405,76.41666666666667,0.0,294.59999999999997,0.08333333333333333,1.05
2019-03-02 05:00:00,886.2,26.206666666666667,83.55,0.0,297.6333333333333,0.46166666666666667,2.015
2019-03-02 06:00:00,865.2,26.028000000000002,83.98333333333333,0.0,317.06666666666666,0.375,1.6766666666666665
2019-03-02 07:00:00,903.0,26.46783333333333,84.06666666666666,0.0,259.7,0.0,0.7566666666666667
2019-03-02 08:00:00,982.8,28.769000000000002,78.46666666666667,0.0,328.75,0.08333333333333333,1.3416666666666668
2019-03-02 09:00:00,1058.4,30.723166666666668,70.13333333333334,0.0,328.51666666666665,0.45999999999999996,2.2666666666666666
2019-03-02 10:00:00,1129.8,31.614333333333335,67.63333333333334,0.0,128.93333333333334,0.545,2.6016666666666666
2019-03-02 11:00:00,1155.0,32.671166666666664,65.58333333333333,0.0,295.76666666666665,0.7566666666666667,2.7266666666666666
2019-03-02 12:00:00,1125.6,32.10366666666667,65.2,0.0,91.46666666666668,1.3433333333333335,4.155
2019-03-02 13:00:00,1083.6,32.9505,63.56666666666666,0.0,137.11666666666667,1.1766666666666667,3.735
2019-03-02 14:00:00,1037.4,33.08416666666667,63.416666666666664,0.0,89.61666666666666,1.135,3.735
2019-03-02 15:00:00,1012.2,32.58783333333333,63.15,0.0,81.64999999999999,0.7966666666666667,3.2733333333333334
2019-03-02 16:00:00,970.2,32.458333333333336,63.61666666666667,0.0,228.81666666666663,0.3333333333333333,1.635
2019-03-02 17:00:00,903.0,31.358833333333333,68.06666666666666,0.0,131.73333333333332,0.8816666666666667,3.315
2019-03-02 18:00:00,890.4,30.381666666666664,70.45,0.0,185.0666666666667,1.4683333333333335,5.245
2019-03-02 19:00:00,924.0,29.198666666666668,73.78333333333333,0.0,161.93333333333334,1.3016666666666667,4.196666666666666
2019-03-02 20:00:00,919.8,28.225166666666667,78.73333333333333,0.0,178.28333333333333,0.9683333333333334,3.735
2019-03-02 21:00:00,903.0,27.665166666666664,83.08333333333333,0.0,164.26666666666668,0.4583333333333333,2.645
2019-03-02 22:00:00,890.4,27.263333333333335,85.58333333333333,0.0,163.31666666666666,0.7583333333333333,3.145
2019-03-02 23:00:00,873.6,26.760666666666665,87.93333333333334,0.0,191.88333333333333,0.33499999999999996,3.0216666666666665
2019-03-03 00:00:00,852.5999999999999,26.71166666666667,86.26666666666667,0.0,134.31666666666666,0.5016666666666666,2.94
2019-03-03 01:00:00,844.2,26.507833333333334,83.2,0.06666666666666667,263.01666666666665,0.37666666666666665,1.72
2019-03-03 02:00:00,835.8,26.267833333333332,82.38333333333333,0.0,244.75,0.041666666666666664,1.05
2019-03-03 03:00:00,831.6,25.95883333333333,87.93333333333334,0.0,198.20000000000002,0.16666666666666666,1.51
2019-03-03 04:00:00,831.6,25.638833333333334,91.71666666666665,0.0,189.28333333333333,0.041666666666666664,0.7566666666666667
2019-03-03 05:00:00,831.6,25.788833333333333,93.06666666666666,0.0,201.45000000000002,0.0,0.7583333333333333
2019-03-03 06:00:00,819.0,25.8575,92.41666666666667,0.0,203.33333333333334,0.125,1.3866666666666667
2019-03-03 07:00:00,760.2,26.677833333333336,92.03333333333335,0.0,205.4333333333333,0.08333333333333333,1.5099999999999998
2019-03-03 08:00:00,760.2,27.6905,88.13333333333333,0.0,200.51666666666665,0.6716666666666667,2.518333333333333
2019-03-03 09:00:00,781.2,29.0535,84.36666666666666,0.0,201.6833333333333,0.16666666666666666,1.385
2019-03-03 10:00:00,785.4,30.61916666666667,75.78333333333333,0.0,261.8333333333333,0.375,2.268333333333333
2019-03-03 11:00:00,806.4,31.75,70.26666666666667,0.0,288.51666666666665,0.5016666666666666,2.3916666666666666
2019-03-03 12:00:00,852.5999999999999,30.9315,73.60000000000001,0.0,186.03333333333333,1.1766666666666667,3.9033333333333338
2019-03-03 13:00:00,840.0,30.343999999999998,75.33333333333333,0.0,32.516666666666666,1.4683333333333335,4.325
2019-03-03 14:00:00,831.6,30.486666666666668,75.01666666666667,0.0,72.55,1.01,3.7783333333333338
2019-03-03 15:00:00,814.8,32.095,71.51666666666667,0.0,185.33333333333334,0.7999999999999999,2.6033333333333335
2019-03-03 16:00:00,806.4,31.528333333333332,71.38333333333334,0.0,344.90000000000003,1.26,3.483333333333333
2019-03-03 17:00:00,840.0,30.159499999999998,75.81666666666666,0.0,231.18333333333337,1.135,3.775
2019-03-03 18:00:00,856.8,24.954333333333334,89.63333333333333,2.3666666666666667,183.65,1.5099999999999998,4.616666666666666
2019-03-03 19:00:00,890.4,23.849833333333333,96.51666666666667,1.6666666666666667,179.46666666666667,0.37666666666666665,2.2666666666666666
2019-03-03 20:00:00,877.8,24.58883333333333,97.41666666666667,0.9666666666666667,199.11666666666667,0.4633333333333334,2.183333333333333
2019-03-03 21:00:00,873.6,24.206666666666667,98.10000000000001,0.3,40.699999999999996,0.46166666666666667,2.35
2019-03-03 22:00:00,877.8,24.355333333333334,98.28333333333335,0.20000000000000004,185.3166666666667,0.08333333333333333,1.175
2019-03-03 23:00:00,856.8,24.649,98.53333333333335,0.10000000000000002,186.0,0.08333333333333333,1.09
2019-03-04 00:00:00,848.4,24.576833333333337,98.7,0.03333333333333333,183.1833333333333,0.08333333333333333,0.8383333333333333
2019-03-04 01:00:00,848.4,24.66133333333333,98.83333333333333,0.0,190.46666666666667,0.16666666666666666,1.7216666666666667
